,TRACTID,cluster
279,36005039902,Stable
280,36005040100,Stable
281,36005040302,Stable
282,36005040303,Stable
283,36005040304,Stable
284,36005040400,Stable
285,36005040501,Stable
286,36005040502,Stable
287,36005040600,Stable
288,36005040701,Stable
289,36005040702,Stable
290,36005040800,Stable
291,36005040900,Stable
292,36005041100,Stable
293,36005041300,Stable
294,36005041400,Stable
295,36005041500,Stable
296,36005041800,Stable
297,36005041900,Stable
298,36005042000,Stable
299,36005042100,Stable
300,36005042200,Stable
301,36005042300,Stable
302,36005042400,Stable
303,36005042500,Stable
304,36005042600,Stable
305,36005042800,Stable
306,36005042901,Stable
307,36005042902,Stable
308,36005043000,Stable
309,36005043100,Stable
310,36005043400,Stable
311,36005043600,Stable
312,36005044200,Stable
313,36005044400,Stable
314,36005044800,Stable
315,36005044901,Mixture
316,36005044902,Mixture
317,36005045101,Mixture
318,36005045102,Mixture
319,36005045600,Stable
320,36005045800,Stable
321,36005046000,Stable
322,36005046201,Stable
323,36005046202,Stable
324,36005048400,Stable
325,36005051600,Mixture
326,36047000100,Stable
327,36047000200,Stable
328,36047000301,Stable
329,36047000501,Mixture
330,36047000502,Stable
331,36047000700,Stable
332,36047000900,Stable
333,36047001300,Stable
334,36047001500,Gentrifying
335,36047002000,Stable
336,36047002100,Stable
337,36047002200,Stable
338,36047002300,Gentrifying
339,36047002901,Gentrifying
340,36047003000,Stable
341,36047003100,Stable
342,36047003300,Stable
343,36047003400,Mixture
344,36047003500,Stable
345,36047003600,Stable
346,36047003800,Mixture
347,36047003900,Stable
348,36047004100,Stable
349,36047004300,Stable
350,36047004400,Stable
351,36047004500,Stable
352,36047004600,Mixture
353,36047004700,Stable
354,36047004900,Stable
355,36047005000,Mixture
356,36047005100,Stable
357,36047005201,Stable
358,36047005202,Mixture
359,36047005300,Gentrifying
360,36047005400,Mixture
361,36047005601,Stable
362,36047005602,Stable
363,36047005800,Stable
364,36047005900,Gentrifying
365,36047006000,Mixture
366,36047006200,Stable
367,36047006300,Stable
368,36047006400,Mixture
369,36047006500,Stable
370,36047006600,Mixture
371,36047006700,Stable
372,36047006800,Stable
373,36047006900,Stable
374,36047007000,Stable
375,36047007100,Stable
376,36047007200,Stable
377,36047007400,Stable
378,36047007500,Stable
379,36047007600,Gentrifying
380,36047007700,Stable
381,36047007800,Gentrifying
382,36047008000,Gentrifying
383,36047008200,Stable
384,36047008400,Stable
385,36047008500,Stable
386,36047008800,Stable
387,36047009000,Stable
388,36047009200,Stable
389,36047009400,Stable
390,36047009600,Stable
391,36047009800,Stable
392,36047010000,Stable
393,36047010100,Gentrifying
394,36047010200,Stable
395,36047010400,Stable
396,36047010600,Stable
397,36047010800,Stable
398,36047011000,Stable
399,36047011200,Stable
400,36047011400,Stable
401,36047011600,Stable
402,36047011700,Gentrifying
403,36047011800,Stable
404,36047011900,Gentrifying
405,36047012000,Stable
406,36047012100,Gentrifying
407,36047012200,Stable
408,36047012600,Stable
409,36047012700,Stable
410,36047012801,Stable
411,36047012901,Stable
412,36047012902,Stable
413,36047013000,Stable
414,36047013100,Stable
415,36047013200,Stable
416,36047013300,Stable
417,36047013400,Mixture
418,36047013500,Stable
419,36047013600,Mixture
420,36047013700,Stable
421,36047013800,Mixture
422,36047013900,Stable
423,36047014000,Stable
424,36047014100,Gentrifying
425,36047014200,Mixture
426,36047014300,Gentrifying
427,36047014500,Gentrifying
428,36047014700,Gentrifying
429,36047014800,Mixture
430,36047014900,Gentrifying
431,36047015000,Mixture
432,36047015100,Stable
433,36047015200,Mixture
434,36047015300,Stable
435,36047015500,Stable
436,36047015700,Stable
437,36047015900,Stable
438,36047016000,Stable
439,36047016100,Stable
440,36047016200,Mixture
441,36047016300,Stable
442,36047016400,Stable
443,36047016500,Stable
444,36047016600,Mixture
445,36047016700,Stable
446,36047016800,Mixture
447,36047016900,Stable
448,36047017000,Mixture
449,36047017100,Stable
450,36047017200,Mixture
451,36047017400,Mixture
452,36047017600,Mixture
453,36047017800,Mixture
454,36047017900,Stable
455,36047018000,Mixture
456,36047018100,Stable
457,36047018200,Mixture
458,36047018300,Stable
459,36047018400,Mixture
460,36047018501,Gentrifying
461,36047018600,Mixture
462,36047018700,Gentrifying
463,36047018800,Mixture
464,36047019000,Mixture
465,36047019100,Stable
466,36047019200,Stable
467,36047019300,Stable
468,36047019400,Stable
469,36047019500,Stable
470,36047019600,Mixture
471,36047019700,Stable
472,36047019800,Mixture
473,36047019900,Stable
474,36047020000,Mixture
475,36047020100,Stable
476,36047020200,Mixture
477,36047020300,Gentrifying
478,36047020400,Mixture
479,36047020500,Gentrifying
480,36047020600,Mixture
481,36047020700,Stable
482,36047020800,Stable
483,36047021000,Stable
484,36047021100,Stable
485,36047021200,Stable
486,36047021300,Stable
487,36047021400,Stable
488,36047021500,Stable
489,36047021600,Stable
490,36047021700,Stable
491,36047021800,Stable
492,36047021900,Stable
493,36047022000,Stable
494,36047022100,Gentrifying
495,36047022200,Stable
496,36047022400,Stable
497,36047022600,Stable
498,36047022700,Gentrifying
499,36047022800,Stable
500,36047022900,Gentrifying
501,36047023000,Stable
502,36047023100,Stable
503,36047023200,Stable
504,36047023300,Gentrifying
505,36047023400,Mixture
506,36047023500,Gentrifying
507,36047023600,Stable
508,36047023800,Mixture
509,36047024000,Stable
510,36047024100,Gentrifying
511,36047024200,Stable
512,36047024300,Gentrifying
513,36047024400,Stable
514,36047024500,Stable
515,36047024600,Mixture
516,36047024700,Gentrifying
517,36047024800,Mixture
518,36047024900,Gentrifying
519,36047025000,Mixture
520,36047025100,Gentrifying
521,36047025200,Stable
522,36047025300,Gentrifying
523,36047025400,Mixture
524,36047025500,Gentrifying
525,36047025600,Mixture
526,36047025700,Stable
527,36047025800,Mixture
528,36047025901,Gentrifying
529,36047025902,Stable
530,36047026000,Mixture
531,36047026100,Gentrifying
532,36047026200,Mixture
533,36047026300,Stable
534,36047026400,Mixture
535,36047026500,Stable
536,36047026600,Stable
537,36047026700,Gentrifying
538,36047026800,Mixture
539,36047026900,Gentrifying
540,36047027000,Stable
541,36047027100,Gentrifying
542,36047027200,Mixture
543,36047027300,Stable
544,36047027400,Mixture
545,36047027500,Gentrifying
546,36047027600,Mixture
547,36047027700,Stable
548,36047027800,Mixture
549,36047027900,Gentrifying
550,36047028000,Mixture
551,36047028100,Gentrifying
552,36047028200,Mixture
553,36047028300,Stable
554,36047028400,Mixture
555,36047028502,Stable
556,36047028600,Mixture
557,36047028700,Gentrifying
558,36047028800,Mixture
559,36047028900,Gentrifying
560,36047029000,Stable
561,36047029100,Stable
562,36047029200,Stable
563,36047029300,Stable
564,36047029400,Stable
565,36047029500,Stable
566,36047029600,Stable
567,36047029700,Stable
568,36047029800,Mixture
569,36047029900,Gentrifying
570,36047030000,Mixture
571,36047030100,Stable
572,36047030200,Mixture
573,36047030300,Stable
574,36047030400,Mixture
575,36047030500,Gentrifying
576,36047030600,Mixture
577,36047030700,Stable
578,36047030800,Mixture
579,36047030900,Gentrifying
580,36047031100,Gentrifying
581,36047031300,Gentrifying
582,36047031400,Mixture
583,36047031500,Gentrifying
584,36047031701,Gentrifying
585,36047031702,Gentrifying
586,36047031900,Stable
587,36047032100,Stable
588,36047032300,Stable
589,36047032500,Stable
590,36047032600,Stable
591,36047032700,Stable
592,36047032800,Stable
593,36047032900,Stable
594,36047033000,Stable
595,36047033100,Stable
596,36047033300,Stable
597,36047033500,Stable
598,36047033600,Stable
599,36047033700,Stable
600,36047033900,Stable
601,36047034000,Stable
602,36047034100,Stable
603,36047034200,Stable
604,36047034300,Stable
605,36047034500,Gentrifying
606,36047034700,Stable
607,36047034800,Stable
608,36047034900,Stable
609,36047035000,Stable
610,36047035100,Stable
611,36047035300,Gentrifying
612,36047035400,Stable
613,36047035500,Stable
614,36047035601,Stable
615,36047035602,Stable
616,36047035700,Stable
617,36047035900,Gentrifying
618,36047036001,Stable
619,36047036002,Stable
620,36047036100,Stable
621,36047036200,Stable
622,36047036300,Gentrifying
623,36047036400,Stable
624,36047036501,Stable
625,36047036502,Gentrifying
626,36047036600,Stable
627,36047036700,Gentrifying
628,36047036900,Stable
629,36047037000,Mixture
630,36047037100,Gentrifying
631,36047037300,Stable
632,36047037401,Mixture
633,36047037402,Mixture
634,36047037500,Gentrifying
635,36047037700,Gentrifying
636,36047037900,Stable
637,36047038100,Stable
638,36047038200,Stable
639,36047038300,Stable
640,36047038500,Stable
641,36047038600,Stable
642,36047038700,Gentrifying
643,36047038800,Mixture
644,36047038900,Gentrifying
645,36047039000,Mixture
646,36047039100,Gentrifying
647,36047039200,Mixture
648,36047039300,Gentrifying
649,36047039400,Mixture
650,36047039500,Gentrifying
651,36047039600,Mixture
652,36047039700,Gentrifying
653,36047039800,Mixture
654,36047039900,Gentrifying
655,36047040000,Mixture
656,36047040100,Gentrifying
657,36047040200,Mixture
658,36047040300,Gentrifying
659,36047040400,Mixture
660,36047040500,Gentrifying
661,36047040600,Mixture
662,36047040800,Mixture
663,36047040900,Gentrifying
664,36047041000,Mixture
665,36047041100,Gentrifying
666,36047041200,Mixture
667,36047041300,Stable
668,36047041401,Stable
669,36047041402,Stable
670,36047041500,Stable
671,36047041600,Mixture
672,36047041700,Stable
673,36047041800,Stable
674,36047041900,Gentrifying
675,36047042000,Stable
676,36047042100,Stable
677,36047042200,Mixture
678,36047042300,Stable
679,36047042400,Stable
680,36047042500,Gentrifying
681,36047042600,Mixture
682,36047042700,Gentrifying
683,36047042800,Stable
684,36047042900,Gentrifying
685,36047043000,Stable
686,36047043100,Gentrifying
687,36047043200,Stable
688,36047043300,Gentrifying
689,36047043400,Mixture
690,36047043500,Stable
691,36047043600,Stable
692,36047043700,Gentrifying
693,36047043800,Mixture
694,36047043900,Gentrifying
695,36047044000,Mixture
696,36047044100,Stable
697,36047044200,Stable
698,36047044300,Stable
699,36047044400,Mixture
700,36047044500,Stable
701,36047044600,Mixture
702,36047044700,Gentrifying
703,36047044800,Stable
704,36047044900,Gentrifying
705,36047045200,Mixture
706,36047045300,Gentrifying
707,36047045400,Mixture
708,36047045600,Mixture
709,36047045800,Stable
710,36047046000,Stable
711,36047046201,Stable
712,36047046202,Stable
713,36047046400,Stable
714,36047046800,Stable
715,36047047000,Stable
716,36047047200,Stable
717,36047047400,Stable
718,36047047600,Mixture
719,36047047700,Gentrifying
720,36047047800,Stable
721,36047048000,Stable
722,36047048100,Gentrifying
723,36047048200,Stable
724,36047048400,Stable
725,36047048500,Gentrifying
726,36047048600,Stable
727,36047048800,Stable
728,36047048900,Stable
729,36047049000,Stable
730,36047049100,Stable
731,36047049200,Stable
732,36047049300,Gentrifying
733,36047049400,Stable
734,36047049500,Gentrifying
735,36047049600,Stable
736,36047049700,Gentrifying
737,36047049800,Stable
738,36047049900,Mixture
739,36047050000,Stable
740,36047050100,Gentrifying
741,36047050202,Stable
742,36047050300,Gentrifying
743,36047050400,Stable
744,36047050500,Stable
745,36047050600,Stable
746,36047050801,Stable
747,36047050803,Gentrifying
748,36047050804,Gentrifying
749,36047050900,Stable
750,36047051001,Stable
751,36047051002,Gentrifying
752,36047051100,Stable
753,36047051200,Stable
754,36047051300,Gentrifying
755,36047051400,Stable
756,36047051500,Gentrifying
757,36047051601,Stable
758,36047051602,Gentrifying
759,36047051700,Stable
760,36047051800,Stable
761,36047051900,Gentrifying
762,36047052000,Stable
763,36047052300,Gentrifying
764,36047052500,Stable
765,36047052600,Stable
766,36047052700,Gentrifying
767,36047052800,Stable
768,36047052900,Stable
769,36047053000,Stable
770,36047053100,Gentrifying
771,36047053200,Stable
772,36047053300,Stable
773,36047053400,Stable
774,36047053500,Stable
775,36047053700,Stable
776,36047053800,Mixture
777,36047053900,Stable
778,36047054200,Stable
779,36047054400,Stable
780,36047054500,Stable
781,36047054600,Mixture
782,36047054700,Gentrifying
783,36047054800,Stable
784,36047054900,Gentrifying
785,36047055000,Stable
786,36047055100,Gentrifying
787,36047055200,Stable
788,36047055300,Stable
789,36047055400,Stable
790,36047055500,Mixture
791,36047055600,Stable
792,36047055700,Gentrifying
793,36047055800,Stable
794,36047056000,Stable
795,36047056100,Gentrifying
796,36047056200,Stable
797,36047056300,Gentrifying
798,36047056400,Mixture
799,36047056500,Stable
800,36047056600,Mixture
801,36047056800,Stable
802,36047056900,Stable
803,36047057000,Mixture
804,36047057100,Gentrifying
805,36047057200,Stable
806,36047057300,Gentrifying
807,36047057400,Stable
808,36047057500,Gentrifying
809,36047057600,Stable
810,36047057800,Stable
811,36047057900,Gentrifying
812,36047058000,Stable
813,36047058200,Mixture
814,36047058400,Stable
815,36047058600,Stable
816,36047058800,Stable
817,36047058900,Gentrifying
818,36047059000,Stable
819,36047059100,Gentrifying
820,36047059200,Stable
821,36047059300,Gentrifying
822,36047059401,Mixture
823,36047059402,Mixture
824,36047059600,Mixture
825,36047059800,Stable
826,36047060000,Stable
827,36047060600,Stable
828,36047060800,Stable
829,36047061002,Stable
830,36047061003,Mixture
831,36047061004,Stable
832,36047061200,Stable
833,36047061600,Mixture
834,36047062000,Stable
835,36047062200,Mixture
836,36047062600,Stable
837,36047062800,Mixture
838,36047063200,Mixture
839,36047063600,Stable
840,36047063800,Stable
841,36047064000,Stable
842,36047064200,Mixture
843,36047064400,Stable
844,36047064600,Stable
845,36047064800,Stable
846,36047065000,Stable
847,36047065200,Mixture
848,36047065400,Mixture
849,36047065800,Stable
850,36047066000,Mixture
851,36047066200,Stable
852,36047067000,Mixture
853,36047067200,Stable
854,36047067400,Stable
855,36047067600,Stable
856,36047067800,Stable
857,36047068000,Mixture
858,36047068200,Mixture
859,36047068600,Mixture
860,36047068800,Mixture
861,36047069000,Mixture
862,36047069200,Mixture
863,36047069601,Mixture
864,36047069602,Mixture
865,36047069800,Mixture
866,36047070000,Mixture
867,36047070201,Mixture
868,36047070600,Mixture
869,36047072000,Stable
870,36047072200,Stable
871,36047072400,Stable
872,36047072600,Stable
873,36047072800,Stable
874,36047073000,Stable
875,36047073200,Stable
876,36047073400,Stable
